{'target': (0, '0_Asian_citrus_psyllid'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/0_Asian_citrus_psyllid/336.jpeg'}
{'target': (2, '2_forktailed_bush_katydid'), 'real': (3, '3_green_stink_bug'), 'file': './image_Data/validation/2_forktailed_bush_katydid/583.jpeg'}
{'target': (2, '2_forktailed_bush_katydid'), 'real': (3, '3_green_stink_bug'), 'file': './image_Data/validation/2_forktailed_bush_katydid/563.jpeg'}
{'target': (2, '2_forktailed_bush_katydid'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/2_forktailed_bush_katydid/540.jpeg'}
{'target': (3, '3_green_stink_bug'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/3_green_stink_bug/406.jpeg'}
{'target': (3, '3_green_stink_bug'), 'real': (4, '4_fruit_moth'), 'file': './image_Data/validation/3_green_stink_bug/454.jpeg'}
{'target': (4, '4_fruit_moth'), 'real': (2, '2_forktailed_bush_katydid'), 'file': './image_Data/validation/4_fruit_moth/577.jpeg'}
{'target': (4, '4_fruit_moth'), 'real': (1, '1_citrus_swallowtail'), 'file': './image_Data/validation/4_fruit_moth/503.jpeg'}
{'target': (5, '5_Asian_longicorn_beetle'), 'real': (10, 'a_cicada'), 'file': './image_Data/validation/5_Asian_longicorn_beetle/597.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (22, 'n_sooty_mold'), 'file': './image_Data/validation/6_garden_snail/515.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (7, '7_brown_marmorated_stink_bug'), 'file': './image_Data/validation/6_garden_snail/574.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (13, 'd_citrus_aphids'), 'file': './image_Data/validation/6_garden_snail/560.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (11, 'b_citrus_scale'), 'file': './image_Data/validation/6_garden_snail/595.jpeg'}
{'target': (6, '6_garden_snail'), 'real': (15, 'f_citrus_flatid_planthopper'), 'file': './image_Data/validation/6_garden_snail/545.jpeg'}
